,product_name,product_category,price,product_images,product_description,product_benefits,product_details,productdata_content,other_colors
63,Nike Tanjun,Men's Shoes,SAR 475.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwab4e9af9/nk/45e/b/0/d/7/0/45eb0d70_b346_4043_b835_089f79ab7230.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw8396ceb3/nk/c31/6/5/0/b/6/c31650b6_88df_48a0_ba6d_a94f16669d60.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw83e0d60d/nk/bfa/8/5/c/3/6/bfa85c36_d5d1_4e2d_b142_325535499f78.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4a6055c3/nk/c91/2/a/5/4/7/c912a547_908f_467d_bbfa_b6ba5cbe6d7d.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw80babd5b/nk/fd3/2/3/b/5/4/fd323b54_097f_4f63_8c89_f9c75fe1fa84.png?sw=540&sh=540&sm=fit&q=80']","Forget the hype. The Nike Tanjun brings you simplicity at its best. Made from at least 20% recycled content by weight, no detail is overlooked on this one. Lightweight. Airy. Comfortable. This shoe is all you need.","['The upper materials are designed to stretch and form to your foot for a personalised feel that breaks in quickly.', 'Foam midsole and Waffle outsole offer lightweight cushioning and traction.', 'Low-cut, padded collar looks sleek and feels great.']","['Same fit and feel as original', 'Colour Shown: Black/Barely Volt/Black', 'Style: DJ6258-001']",,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf7867b03/nk/2ad/8/4/1/4/0/2ad84140_7950_4cee_b0b0_d02b351dccba.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3bd680b2/nk/0e5/3/b/6/a/b/0e53b6ab_63bc_4fe9_b0d8_82dffa24638d.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0325d399/nk/327/6/f/9/3/d/3276f93d_5c04_4a9e_8f01_61db68d3140e.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw07a5c89b/nk/631/0/e/9/a/6/6310e9a6_9cab_46fb_834d_06b2ea2967fb.png?sw=520&sh=520&sm=fit']"
64,Nike Blazer Low '77 Vintage,Men's Shoes,SAR 600.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw227424cc/nk/8c7/1/c/7/b/e/8c71c7be_35e3_42de_8cde_2624f60c782a.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3a86e089/nk/05b/3/9/7/c/3/05b397c3_bf8c_4a13_a87e_37c5f5918667.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw8bd25cdf/nk/9cd/7/e/6/c/f/9cd7e6cf_99f9_4273_ba2f_8683913de036.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb44d8065/nk/9d7/5/d/6/0/8/9d75d608_cf9a_41f8_9ba3_2d07e308ae9e.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw35d79213/nk/d57/f/7/b/8/2/d57f7b82_1070_4b10_9cab_e827d7a5ca71.png?sw=540&sh=540&sm=fit&q=80']","Praised by the streets for its classic simplicity and comfort, the Nike Blazer Low '77 Vintage returns with its low-profile style and heritage b-ball looks. Featuring luscious suede details, a retro Swoosh design and a super-soft collar, it's the must-have wardrobe staple that will take you everywhere.","['Originally designed for performance hoops, the Nike Blazer Low offers durability and comfort that lasts. The nearly 1-to-1 remake features crisp leather on the upper with soft suede and synthetic details for added durability and throwback styling.', 'The ultra-clean colours, simple lines and low-cut, padded collar creates a sleek look that feels great.', ""The vulcanised construction fuses the outsole to midsole for a streamlined look that's durable and comfortable."", 'The solid rubber outsole with herringbone pattern adds traction, durability and heritage styling.']","['Colour Shown: White/Sail/Black', 'Style: DA6364-101']",,[]
65,Nike Blazer Mid '77,Men's Shoes,SAR 650.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw2697ca0f/nk/cd4/e/7/3/9/e/cd4e739e_50f3_49e6_94dd_f409bf617724.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwbada39f5/nk/d0f/4/1/2/8/3/d0f41283_3fc9_4dc7_8fa2_842b04983d2c.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwd37e21f6/nk/27f/d/4/a/2/a/27fd4a2a_9961_48da_88d3_46c442a1bab9.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw437e749d/nk/e3e/f/9/2/a/4/e3ef92a4_38b5_44d4_93aa_5150a4cc0731.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw63eff273/nk/0e2/0/e/c/c/f/0e20eccf_3e84_4565_9b89_9c8c0f2793fe.png?sw=540&sh=540&sm=fit&q=80']","50 years after the birth of the genre, hip-hop is still influencing streetwear. Nike shoes have always been an integral part of this culture—both influencing and being influenced by iconic musicians, artists and fans. Celebrate half a century of art and culture with platinum details like a microphone charm. Lace up and get spinning.","[""The leather upper and exposed needlework create a clean look that's easy to style."", 'Vulcanised construction fuses the sole to the upper for a flexible, broken-in feel.', 'Rubber sole with herringbone pattern adds traction and durability.']","['Padded collar', 'Foam midsole', 'Rubber sole', 'Colour Shown: White/Black/White/Smoke Grey', 'Style: DV7194-100']","11 August 1973 is known as the day hip-hop was born. Music makers and lovers came together at 1520 Sedgwick Avenue for the now famous ""Back to School Jam"", which changed the course of music history and helped kick off the movement that became hip-hop as we know it.",[]
66,Nike Wildhorse 7,Men's Trail Running Shoes,SAR 479.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw128a59b2/nk/fcb/7/f/d/b/7/fcb7fdb7_7af9_4df9_b2b1_a74334a2f05b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw95f23c17/nk/a47/f/a/b/5/e/a47fab5e_e548_45d8_b7a2_9b05e30a2fa7.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5daa046f/nk/225/8/8/e/b/f/22588ebf_f262_4651_a2a4_23ebdaccd067.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw568b0290/nk/84b/0/4/c/8/c/84b04c8c_07f7_4959_ac71_b5728c5cb30f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdfa515f2/nk/85a/7/0/a/f/d/85a70afd_ba04_4eee_b719_04d444862a52.png?sw=540&sh=540&sm=fit&q=80']",Take on those tough and extreme trail runs with the rugged build of the Nike Wildhorse 7.Confidently take on rocky terrain with high-abrasion rubber on the outsole that adds durable traction.The upper delivers durable ventilation with support where you need it.Foam midsole cushioning gives a neutral feel and provides responsiveness on every mile.,"['A Dynamic Fit System through the midfoot helps hug and support your foot as you run through rocky trails.', 'Segmented rock plate helps shield your foot on rough terrain.', 'Utility tab at the back for easy on and off.']","[""Weight: 328.4g (approx.) (Men's size 9)"", 'Offset: 8.0mm (Forefoot: 14.5mm, Heel: 22.5mm)', 'Colour Shown: Black/Anthracite/Pure Platinum', 'Style: CZ1856-002', 'Country/Region of Origin: CN']","Nike React foam offers a soft, smooth ride that adds a little spring to your step.Extra cushioning around the heel helps keep your foot secure.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1d004279/nk/6e3/0/d/8/7/6/6e30d876_b2e0_4b42_945d_1786e371cc53.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwabe90672/nk/116/7/9/4/7/b/1167947b_ee80_4ba0_98aa_c472afa682a9.png?sw=520&sh=520&sm=fit']"
67,Jordan Max Aura 4,Men's Shoes,SAR 800.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw673cd791/nk/cca/5/8/0/8/5/cca58085_bc15_41f5_9926_1eaf77f4b8f3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw947fe595/nk/dca/e/3/f/1/4/dcae3f14_31e2_49b7_a1cb_0d027cabeae0.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwdfb4318b/nk/21d/4/a/9/2/1/21d4a921_45f1_4b57_81f7_f5033d5768ac.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw935151e0/nk/3b0/8/1/3/c/5/3b0813c5_0b94_46c8_ab53_72bd8b9b0a24.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3a8f1362/nk/d64/b/c/4/c/9/d64bc4c9_b996_47e8_8aff_f8dfb1a57c14.png?sw=540&sh=540&sm=fit&q=80']",The lightweight cushioning found in this next generation basketball shoe takes cues from its predecessors. Take flight on the court with timeless style and cloud-like heel support.,"['Genuine leather, synthetic leather and polyester combine in the upper for exterior cushioning.', 'Classic branding shows up in moulded details and embroidered graphics.', 'Visible Max Air unit supplies lightweight impact cushioning and comfort beneath your heel.', 'Six futuristic waves of tread on the rubber outsole provide multi-surface traction.']","['Rubber outsole', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: White/Pure Platinum', 'Style: DN3687-101']",,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5f30fe39/nk/5e9/b/f/1/9/6/5e9bf196_b5f4_461d_b3b3_1cfd3a7c5a6f.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw38a4a9d3/nk/f9d/a/8/5/8/6/f9da8586_6b8b_48c6_b820_cfc5e010474a.png?sw=520&sh=520&sm=fit']"
68,Air Jordan 13 Retro,Men's Shoes,"SAR 1,300.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc109a81c/nk/ee1/a/7/1/8/7/ee1a7187_3e08_4c4b_8587_3d8627cda1c3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf3d82cc6/nk/a0f/f/8/e/f/4/a0ff8ef4_6f92_472a_a469_90a46bc7beb5.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw829c8e23/nk/4ab/f/7/b/6/b/4abf7b6b_eaaf_43be_aa67_7d9d8d8cb40f.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw14d2d850/nk/699/7/4/6/7/c/6997467c_7159_4402_888d_3b8c3fe27473.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw70908277/nk/f05/d/9/5/8/e/f05d958e_ffd9_496d_9b6b_bc1f1b86de7a.png?sw=540&sh=540&sm=fit&q=80']","Michael Jordan earned the nickname ""Black Cat"" for his superior athletic ability and prowess at both ends of the court. That nickname became the muse for the Tinker Hatfield-designed Air Jordan 13. Featuring a panther-paw-like sole and ""cat eye"" holograph, Michael rode the mid-top shoe all the way to his 6th ring in '98, the last triumph of his legendary career. The Air Jordan 13 Retro brings back the stealthy, shrouded design with a fresh mix of colours and textures.","['Responsive Zoom Air is encapsulated in the forefoot and heel, providing springy, low-profile cushioning.', 'Genuine and synthetic leathers and textile materials in the upper provide structure and durability.']","['Holographic ""cat eye"" logo', 'Herringbone traction', 'Foam midsole', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Black/Flint Grey/White/University Red', 'Style: DJ5982-060']",,[]
69,Nike Air Max 1 '86 OG G,Men's Golf Shoes,"SAR 1,050.00","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw92169f6a/nk/88f/9/3/7/5/d/88f9375d_e1fe_41b0_9bfc_a4d771ce1e82.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw2b62c7db/nk/163/8/d/d/6/3/1638dd63_0efa_4d35_9c90_fb23a061982a.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw576c905d/nk/521/d/e/1/a/2/521de1a2_da78_476e_94a2_024cf1f224bc.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1d20044a/nk/8ae/f/5/f/3/3/8aef5f33_5852_4295_9599_7123f6360dc3.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0d85052f/nk/42e/d/3/6/3/6/42ed3636_607a_415f_94ee_f9480723c5ce.png?sw=540&sh=540&sm=fit&q=80']","A streetwear legend hits the links in the Air Max 1 G. Featuring the 4-window design that lets you peak at the large Air unit underneath, this is on-course cool, confidence and comfort personified. It sports the vintage Air Max 1 details you love, like clean lines and unmistakable colours, and melds them with our game-changing golf technology, so you can play all day, all year round in a timeless fit.","['One-year waterproof warranty', 'Increased durability for long-lasting wear', 'Spikeless', 'Full-length foam midsole', 'Colour Shown: Black/White', 'Style: DV1403-010']","['The 4-window design allows you a grand view of the optimal cushioning with every step. The design details are inspired by the ageless look of the Air Max 1 that was released in 1986, included the debossed ""Nike Air"" logo on the heel.']",The synthetic upper provides water resistance in all-weather conditions.,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw6ac8fed6/nk/639/6/c/c/e/e/6396ccee_dde6_4ddb_a27e_9a3b98dae991.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw74d09a5b/nk/4c1/1/3/5/7/7/4c113577_9748_4aab_8aaf_a4950ffe9dd1.png?sw=520&sh=520&sm=fit']"
70,Nike Kiger 9,Men's Trail-Running Shoes,SAR 900.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw0930d769/nk/127/d/d/8/b/e/127dd8be_d46b_4317_a14e_d78b10e467dc.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw50305023/nk/b49/7/3/3/7/7/b4973377_3092_4939_b116_8db2349b40b7.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4a5c6767/nk/eca/9/a/6/0/e/eca9a60e_6edc_438e_a7be_f38757d03e4b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe1101137/nk/bc4/6/0/c/1/6/bc460c16_8e41_49b7_bc47_795505b8465b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw10adb4e6/nk/853/4/1/b/a/b/85341bab_5ee9_4487_bc72_0ad0fcecf56f.png?sw=540&sh=540&sm=fit&q=80']","When approaching rocky and technical terrain, go with the comfort and speed of the Kiger 9, there for every unexpected twist and tight turn. Equipped with full-length Nike React foam and a revamped breathable upper, this agile, quick trainer helps keep you zigzagging in and out of trails with speed. It's lower to the ground and lighter than our previous iteration, so that you can handle the off-road path with pace and security.",['Not intended for use as Personal Protective Equipment (PPE)'],"['Nike React technology is a lightweight, durable foam that delivers a smooth, responsive ride. We implemented a full React midsole and removed the forefoot Air unit from the prior iteration, so that you can get even closer to the ground without sacrificing comfort and speed.']","Multi-directional traction lugs in the heel have high-abrasion rubber to help give you enhanced grip on ascents and descents, even in wet weather, so you can stay connected to the trail.",[]
71,Air Jordan 1 Mid SE Craft,Men's Shoes,SAR 850.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwbfbfbdc2/nk/937/e/1/f/4/7/937e1f47_cec4_491b_a7cb_877a41fc0277.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe597643d/nk/221/c/f/e/5/f/221cfe5f_debe_45fd_b89c_56d510008c9e.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw48bfb43c/nk/90c/4/7/4/5/9/90c47459_96f2_491d_8cc9_d5a2d060f632.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw7cba391a/nk/437/8/4/0/4/8/43784048_38af_419f_952f_1e813b295a45.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw29641573/nk/49f/a/b/1/0/0/49fab100_80f4_4f90_9001_18be63379a80.png?sw=540&sh=540&sm=fit&q=80']","Turn style on its head with this crafted take on the Air Jordan 1 Mid. Its ""inside out""-inspired construction, including unique layering and exposed foam accents, ups the ante on this timeless Jordan Brand silhouette. Details like the deco stitching on the Swoosh add coveted appeal, while the unexpected shading, rich mixture of materials and aged midsole aesthetic give this release an artisan finish.","['Encapsulated Air-Sole unit and foam midsole cushion every step.', 'Mid-cut, cushioned collar creates a comfortable fit around your ankle.', 'Rubber sole gives you durable traction.']","['Suede details on upper', 'Wings logo on heel', 'Perforations over toe', 'Colour Shown: White/Tech Grey/Sail/Light Orewood Brown', 'Style: DM9652-120']",,[]
72,Nike Tanjun FlyEase,Men's Shoes,SAR 475.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwbcef4541/nk/057/2/6/c/3/1/05726c31_0ca3_4a8d_a22e_a08412a3b0ff.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw1f9d44e4/nk/b69/2/1/2/9/f/b692129f_113b_40ac_ac90_3383f8d7a97b.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc1ffd07a/nk/613/5/0/8/9/6/61350896_627e_45e3_9b56_6d8bb477b6e1.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw2ddc2297/nk/87d/1/9/2/0/a/87d1920a_ea8b_4fdf_929d_ce38fd3beea5.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwbc9f4583/nk/826/e/1/5/f/5/826e15f5_f94e_4b5b_9994_45361763a832.png?sw=540&sh=540&sm=fit&q=80']","Forget the hype. The Tanjun brings you simplicity at its best. Its hidden FlyEase entry system gives you a hands-free experience. The lightweight, airy and comfortable design makes it a go-to for daily wear. Plus, it's made from at least 20% recycled content by weight.","['FlyEase entry system (hidden in the heel) lets you easily slip them on and off.', 'The upper materials are designed to stretch and form to your foot for a personalised feel that breaks in quickly.', 'The Waffle outsole offers lightweight cushioning and traction.', 'Low-cut, padded collar looks sleek and feels great.']","['Foam midsole', 'Colour Shown: Black/Volt/Black/White', 'Style: DV7775-001']",,[]
73,Nike Metcon 8,Men's Training Shoes,SAR 850.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw4862197e/nk/32b/5/7/2/3/5/32b57235_9f51_4ee1_ae28_b784b2b68bab.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw070d7f60/nk/5e1/7/e/7/1/d/5e17e71d_9387_44f2_8278_3108e57c5a30.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwe9be7b5e/nk/4d7/c/b/8/a/d/4d7cb8ad_af31_457a_bbb8_7786a6d29ddf.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwccb1dc04/nk/854/4/d/c/4/d/8544dc4d_dc3d_4ffe_862a_4ab1791dccb4.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwb5abf2aa/nk/bb8/9/e/e/6/a/bb89ee6a_7eb1_4fb2_a55f_fbe5268fda0a.png?sw=540&sh=540&sm=fit&q=80']","You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous edition to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts.","['Lightweight mesh with textured overlays in high-wear areas helps keep your foot cool without sacrificing durability.', 'Tab locks down the laces with a hook-and-loop closure to help keep them out of the way.', 'Handstand clip at the heel helps minimise drag during wall exercises.', 'Grooves in the sole let your forefoot bend naturally.']","['Colour Shown: Iron Grey/Black/Gum Medium Brown/Phantom', 'Style: DO9328-007']","Delivering a smooth, responsive ride, Nike React foam makes a comfortable, cushioned base that feels lightweight and springy when you kick into high gear for cardio and sprints.","['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw3347bb9b/nk/67d/e/5/0/8/4/67de5084_1169_4367_a035_e6d48a972eb6.png?sw=520&sh=520&sm=fit', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwad1ae123/nk/2d0/a/9/b/a/1/2d0a9ba1_0ba6_4b6f_bf60_36274427cbe6.png?sw=520&sh=520&sm=fit']"
74,Nike Vomero 16,Men's Road Running Shoes,SAR 975.00,"['https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwf4b10f04/nk/7b5/1/f/d/1/1/7b51fd11_0ded_48bb_bee8_2193fdecc382.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw24552be5/nk/ae4/9/3/5/1/f/ae49351f_7f1d_4f2f_8ad8_68adf258a5be.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc8317687/nk/910/0/5/8/5/e/9100585e_4a59_4c2a_8618_becd73bc08f8.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw94358f1e/nk/4a6/b/2/e/0/9/4a6b2e09_c61f_49c3_91fb_7453c0e0931d.png?sw=540&sh=540&sm=fit&q=80', 'https://www.nike.sa/dw/image/v2/BDVB_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw68b4fbca/nk/beb/5/a/2/6/c/beb5a26c_5715_4a6d_a1a3_bca7066a8f35.png?sw=540&sh=540&sm=fit&q=80']","The Vomero 16 adds responsive ZoomX foam cushioning, bringing an energetic pop to your stride that's perfect for high mileage on the road. It's super-lightweight, with plenty of stretch and ventilation through the upper. Looking for the right amount of support? We've got you covered with an adjustable midfoot band and a stable clip at the heel.","['High-abrasion rubber at the outsole with lugs gives you durable traction.', 'The tongue is even more plush than previous versions.']","[""Weight: 309g approx. (Men's size 9)"", 'Offset: 10mm (Forefoot: 19.5mm, Heel: 29.5mm)', 'Not intended for use as Personal Protective Equipment (PPE)', 'Colour Shown: Bright Crimson/Obsidian/Light Orewood Brown/White', 'Style: DA7245-601']","We added extra support along the sides via a band at the midfoot. It works with your laces, helping you adjust how snug and secure your foot feels. There's also a clip at the heel, helping with stability as you run across uneven surfaces.",[]
